Week,VIC,NSW,QLD,ACT,NT,SA,WA,TS
1/9/2019,-4.1,-4,-2,1.8,0.7,-2.2,-2.8,1.9
8/9/2019,-0.2,0.2,1,1.4,-2,-1.6,-3,1.3
15/9/2019,0.8,3,1.4,3.1,2.2,-2,-1.2,0.2
22/9/2019,0.2,-2.4,1.3,1.3,-2.1,-1.6,-1.6,0.2
29/9/2019,-1.7,-2.3,2.2,1.4,-1.6,2.1,1,1.3
6/10/2019,-2.1,-1.9,2.1,-1.6,-0.9,-1.4,-0.7,1.2
13/10/2019,-1.9,-1.2,1.9,-1.9,1,1.9,0.4,0.7
20/10/2019,-3.1,-0.7,3.7,0.9,0.5,-0.1,1.4,1.1
27/10/2019,-0.9,1.4,-1.9,1.8,0.7,1.6,-0.9,2.4
3/11/2019,2.7,1.1,0.8,1.3,1.5,3.2,-2.1,3.7
10/11/2019,0.9,1.7,1.6,0.7,2.3,2,1.3,1.6
17/11/2019,1.3,0.2,1.7,1.6,0.8,0.2,1.5,3.3
24/11/2019,0.1,3,2.2,3,0.1,0,1.7,2.5
1/12/2019,0.7,3.4,0.3,0.2,1.1,3.7,3.5,2.9
8/12/2019,-2,3.3,2.9,3.1,2.4,1.5,3.3,-0.9
15/12/2019,-2.4,-0.9,2.3,3.4,3.3,3.3,2.5,-0.7
22/12/2019,4,2.9,1,4.1,5.1,4.5,1.9,0.2
29/12/2019,8,9.7,12.7,8.8,6.5,7.3,12.2,11
5/1/2020,13.9,12.2,17.7,8.4,12.2,13.3,18.8,13.7
12/1/2020,27.3,33.4,28.8,24.2,27.7,23,25.8,20
19/1/2020,6.8,13.3,7.9,4.4,6.7,12.3,11.6,10.1
26/1/2020,4.3,9.6,8.4,9.1,7.7,9.9,6.5,12.1
2/2/2020,6.7,8.7,8.8,10,9.3,5.9,4.2,6.6
9/2/2020,2.4,5.6,2.1,7.7,5.7,8.1,4.9,9.2
16/2/2020,1.1,2.3,4,5.4,7.6,6.3,4.9,11.1
23/2/2020,19.7,17.1,12.6,6.5,22.2,13.4,8.9,18.1